City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,miyazu,35.5333,135.1833,49.69,83,69,8.97,JP,1701900409
310,san jorge,-31.8962,-61.8598,74.84,67,68,7.0,AR,1701900410
311,carnarvon,-24.8667,113.6333,72.66,73,0,20.38,AU,1701900411
312,nadym,65.5333,72.5167,-38.18,100,29,7.31,RU,1701900412
313,chhor,25.5167,69.7667,65.77,39,0,10.07,PK,1701900413
314,dazhou,31.2159,107.5009,50.38,81,0,3.85,CN,1701900414
315,nova olimpia,-14.7972,-57.2881,89.69,41,83,3.18,BR,1701900350
316,bougouni,11.417,-7.479,78.12,18,5,4.65,ML,1701900416
317,utrik,11.2278,169.8474,81.25,77,97,24.0,MH,1701900417
318,saudarkrokur,65.7461,-19.6394,20.88,59,3,7.09,IS,1701900356
319,adrar,20.5022,-10.0711,68.31,18,99,10.02,MR,1701900421
320,ilabaya,-17.4208,-70.5133,72.01,54,87,8.46,PE,1701900422
321,robore,-18.3333,-59.75,90.88,43,81,5.57,BO,1701900423
322,igarka,67.4667,86.5833,-17.0,87,100,12.64,RU,1701900424
323,salalah,17.0151,54.0924,77.09,41,0,9.22,OM,1701900425
324,callaway,30.153,-85.5699,58.91,51,0,7.0,US,1701900426
325,guerrero negro,27.9769,-114.0611,76.87,30,0,9.95,MX,1701900201
326,mount isa,-20.7333,139.5,85.77,39,1,8.05,AU,1701900428
327,new norfolk,-42.7826,147.0587,63.91,56,100,5.3,AU,1701900428
328,pointe-noire,-4.7761,11.8635,79.41,83,54,4.56,CG,1701900429
329,port mathurin,-19.6833,63.4167,78.13,79,3,7.99,MU,1701900430
330,dubinino,55.6192,89.0911,-1.66,95,100,12.62,RU,1701900431
331,san mateo del mar,16.2,-95.0,80.76,67,96,31.7,MX,1701900432
332,hudson,40.7168,-74.0663,39.33,50,40,12.66,US,1701900067
333,dryden,49.7833,-92.7503,30.2,84,100,3.69,CA,1701900434
334,yorkton,51.2167,-102.4677,36.36,61,43,2.66,CA,1701900435
335,mala vyska,48.6431,31.6366,26.67,72,100,9.86,UA,1701900436
336,dolores,-36.3132,-57.6792,64.83,97,99,7.76,AR,1701900437
337,santa cruz,-17.8,-63.1667,87.26,55,20,16.11,BO,1701900438
338,hwange,-18.3693,26.5019,85.89,25,18,10.11,ZW,1701900439
339,azangaro,-14.9167,-70.2167,49.15,73,98,7.49,PE,1701900440
340,kalemie,-5.9475,29.1947,70.12,84,65,3.4,CD,1701900441
341,palm bay,28.0345,-80.5887,62.06,56,0,18.01,US,1701900442
342,sao gabriel da cachoeira,-0.1303,-67.0892,77.23,93,59,2.44,BR,1701900443
343,kalenderovci donji,44.945,17.8339,36.93,93,100,6.6,BA,1701900444
344,magong,23.5654,119.5863,70.32,57,86,29.57,TW,1701900445
345,port-vila,-17.7338,168.3219,82.0,78,75,16.11,VU,1701900446
346,songjianghe,42.1859,127.479,9.54,85,11,5.66,CN,1701900447
347,al hasakah,36.5024,40.7477,53.76,87,79,5.59,SY,1701900448
348,port alfred,-33.5906,26.891,67.17,84,67,4.0,ZA,1701900449
349,marquette,46.5333,-87.6335,32.04,75,100,11.01,US,1701900450
350,kenora,49.8167,-94.4337,31.14,88,100,3.24,CA,1701900451
351,rundu,-17.9333,19.7667,80.94,39,96,4.72,NA,1701900452
352,dubai,25.2582,55.3047,75.13,64,0,2.3,AE,1701900356
353,watseka,40.7762,-87.7364,36.09,82,66,3.0,US,1701900455
354,aral,40.5156,81.2636,35.1,37,12,5.1,CN,1701900456
355,harstad,68.799,16.5293,28.15,89,96,17.0,NO,1701900458
356,ancud,-41.8697,-73.8203,57.49,74,15,5.79,CL,1701900459
357,agadez,19.75,10.25,64.15,25,0,3.42,NE,1701900460
358,lee acres,35.1487,-106.647,61.84,31,20,6.91,US,1701900300
359,dongola,19.1667,30.4833,66.51,26,59,13.04,SD,1701900463
360,alice springs,-23.7,133.8833,85.55,35,0,9.22,AU,1701900437
361,el fasher,13.6279,25.3494,66.99,13,11,7.25,SD,1701900465
362,sibolga,1.7427,98.7792,76.33,93,100,3.18,ID,1701900441
